# Start logging at 2022-01-13 01:45:31 Tokyo Standard Time
[01:45:31]  ktrzetto: test
[01:45:31] 2022年1月13日
[06:28:15] disconnected
[06:28:15] Server connection timed out, reconnecting
[06:28:16] connected
[07:53:26] disconnected
[07:53:26] Server connection timed out, reconnecting
[07:53:28] connected
[12:03:43]  streamelements: ktrZetto is now live! Streaming Super Mario 64: 【JP/EN】[short] Mario☆16 RTA とりあえず頑張る | !discord
[12:03:54]  chef_zack: Pog
[12:03:59] ktrZetto is live!
[12:04:40]  chef_zack: oh this is the real usamune
[12:06:48]  chef_zack: i wish i had the autism to speedrun mario sunshine
[12:06:51]  chef_zack: that games so cool
[12:06:59]  303devilfish: first nyannDab
[12:07:31]  chef_zack: i wish that game didnt have 240 blue coins
[12:08:53]  chef_zack: LULW
[12:12:05]  chef_zack: ive never seen that
[12:13:27]  chef_zack: the god damn lily pad level
[12:14:45]  chef_zack: green stars are basically optional
[12:16:42]  chef_zack: im not a fan of odyssey maybe it'll age better eventually.
[12:21:24]  chef_zack: pepeJAM
[12:21:49]  chef_zack: should've done helicopter
[12:22:35]  chef_zack: everytime EZ
[12:22:55]  chef_zack: oh wow
[12:22:59]  chef_zack: LULW
[12:25:12]  chef_zack: 4th Pog
[12:25:38]  chef_zack: oh i see
[12:29:05]  chef_zack: EZ Clap
[12:29:42]  chef_zack: well they have their own catagory
[12:30:35]  chef_zack: you got scammed
[12:32:46]  chef_zack: have you tried counting how many times you spin?
[12:32:54]  chef_zack: it looks like 8/9 times
[12:33:13]  chef_zack: mb yeah joystick
[12:37:40]  chef_zack: is there a way to center it?
[12:38:17]  laurabraus: it says you have one viewer but the viewer list has like 25 names on it. what do i believe
[12:38:32]  chef_zack: probably chatterino
[12:38:59]  laurabraus: wtf is chatterino
[12:39:05]  chef_zack: 3rd party client
[12:39:32]  chef_zack: it also has a bunch of other cool features
[12:39:33]  laurabraus: ohhhhhhhhhhhhh
[12:39:51]  laurabraus: i think ive seen some streamers have a dedicated screen for this
[12:41:01]  laurabraus: the fact they have those shaped monitors is already weird
[12:41:12]  laurabraus: yeah the vertical ones !!
