# Start logging at 2022-01-16 00:12:13 Tokyo Standard Time
[00:12:13]  ktrzetto: !define boul
[00:12:13] 2022年1月16日
[00:12:14]  nightbot: Term: 'boul': What [philly] [heads] use to refer to another male.(Pronounced as [bull])
[11:58:54]  streamelements: ktrZetto is now live! Streaming Pokémon Brilliant Diamond/Shining Pearl: 【EN/JP】english speaking practice | END story play | !discord
[11:58:59] ktrZetto is live!
[12:00:32] hectic358 redeemed Sound Alert: i suck 1000
[12:00:55]  hectic358: you can suck me
[12:01:21]  303devilfish: nyannGachi
[12:08:02]  hectic358: lol lucario
[12:08:31]  hectic358: imagine wanting a pokemon that specializes in handling blue balls
[12:09:05]  hectic358: the dream cum team
[12:14:55] darkphoeen1x redeemed Sound Alert: 💕Wha～o💕 500
[12:15:35]  darkphoeen1x: how are you ?^^
[12:16:18]  darkphoeen1x: ah nice, i wasted a bit of time on my 2nd character in ff14
[12:17:34]  darkphoeen1x: i unlocked samurai and red mage at msq lvl 20 and i levelled up pugilist to 50 for that only
[12:17:44]  darkphoeen1x: nice
[12:18:54]  darkphoeen1x: i will use it for play game and so
[12:19:25]  darkphoeen1x: so it will not become a storage character yet
[12:20:09]  darkphoeen1x: if i ever finish msq then yes but it will probably take awhile to get there
[12:20:33]  kaeos: I saw your tweet where you had you goals for this year, you'll definitely go at least 3-2 at a local, I believe in you :)
[12:21:02]  darkphoeen1x: ...i said my msq level a few messages ago
[12:21:36]  kaeos: Unfortunate :/
[12:21:49]  darkphoeen1x: ARR shortly after ifrit
[12:22:34]  kaeos: Good night :)
[12:23:16]  darkphoeen1x: i got around 21 days and 21 hours of playtime on my 2nd character
[12:23:36]  darkphoeen1x: yes
[12:24:05]  darkphoeen1x: now i try to get reaper and sage unlocked
[12:25:03]  darkphoeen1x: yes as a lvl 20 in msq
[12:26:28]  darkphoeen1x: and i become stronger bc i have too much time on my hand i want to level every job to max (90) which i can unlock so no drk,ast or mch
[12:28:41]  darkphoeen1x: how long would it taake i think till 2023 or so if lucky
