# Start logging at 2022-01-30 01:44:45 Tokyo Standard Time
[01:44:45] Exited host mode.
[01:44:45] 2022年1月30日
[01:44:51] 2 host commands remaining this half hour.
[01:44:52] Now hosting JoshInJapan.
[01:45:05] Exited host mode.
[04:26:20] ktrZetto is live!
[04:26:56]  thxrd: YESSIRRRR
[04:28:21]  streamelements: ktrZetto is now live! Streaming Super Mario 64: 【EN/JP】MARIO UNTIL I PB, THEN ARCEUS | !discord
[04:28:26]  deohang: Ellooo
[04:28:47]  babsmcnh: Isn’t this degen hours for you
[04:28:54]  deohang: Eu friendly time
[04:28:59]  babsmcnh: Also yeah what’s up
[04:29:27]  babsmcnh: Lmao
[04:29:54]  thxrd: I've been hungover pretty much all day so this is great for me
[04:30:00]  babsmcnh: PepeHands the controller
[04:30:08]  deohang: @thxrd Hiya jp
[04:30:11]  babsmcnh: Cant you just replace the stick?
[04:30:21]  thxrd: henlo @DeoHang
[04:31:00]  babsmcnh: Ahhhh
[04:31:09]  thxrd: Red > Black anyways
[04:31:19]  babsmcnh: Woah that’s orange not red dude
[04:31:49]  deohang: That looks orange
[04:32:03]  notmango: hi ktr
[04:32:04]  babsmcnh: Also I’m surprised you aren’t playing arceus but idk if you have a switch
[04:32:12]  babsmcnh: Zetto colour blind - it happens
[04:32:12]  notmango: he has a switch
[04:32:22]  deohang: Still looks orange imo
[04:32:30]  thxrd: nah i can tell that's red
[04:32:47]  babsmcnh: Oh so why don’t you play arceus? Might attract more viewers but idk
[04:33:15]  babsmcnh: Zetto send a pic of the controller to me on discord so I know
[04:33:34]  babsmcnh: BRO IT SAID KTRZETTO HERE FOR MY TITLE
[04:33:39]  babsmcnh: you changed it bitch.
[04:33:53]  babsmcnh: Or I had the past title lol
[04:33:55]  thxrd: @babsmcnh streaming cause you like it > streaming cause it attracts viewers
[04:34:11]  babsmcnh: Bro I’m not in ur discord it didn’t let me join
[04:34:30]  babsmcnh: Zetto likes Pokémon though
[04:34:50]  babsmcnh: !discord
[04:34:50]  thxrd: !discord
[04:34:50]  nightbot: https://discord.gg/T4GrmEbfcS
[04:35:48]  babsmcnh: Nightbot did an error last time I tried to join
[04:36:03]  babsmcnh: Yeah it’s red
[04:36:16]  babsmcnh: That means ur phone is colourblind too PepeHands
[04:36:50]  babsmcnh: pepeD
[04:37:12]  thxrd: that invisible wall video you posted on twitter doing this was painful to watch not gonna lie
[04:37:13]  babsmcnh: Actually it’s 2-3
[04:37:30]  babsmcnh: You and ur phone to me, THX and ur computer
[04:37:46]  babsmcnh: Get rekted
[04:38:22]  thxrd: that video looked like an infinite loop
[04:39:36]  babsmcnh: Can I get a bot role on ur discord, i spam a lot so I think I fit in there
[04:42:06]  babsmcnh: Yeah makes sense
