# Start logging at 2022-02-10 06:58:52 Tokyo Standard Time
[06:58:52]  chef_zack: Pog
[06:58:52] 2022年2月10日
[06:59:00]  chef_zack: gross youtube DansGame
[06:59:02]  streamelements: ktrZetto is now live! Streaming Super Mario 64: 【EN/JP】[short] weebs welcome~ Nintendo Direct Watching
[06:59:05]  chef_zack: twitch.tv/nintendo
[06:59:29] ktrzetto is live!
[07:01:43]  chef_zack: yeah
[07:01:55]  chef_zack: but its 3 houses warriors
[07:02:28]  chef_zack: fire emblem three houses, but its like zelda warriors
[07:03:00]  chef_zack: its like fire emblem
[07:04:11]  chef_zack: LULW
[07:04:13]  chef_zack: what the fuck
[07:04:14]  haine_sense1: yo
[07:04:34]  cosmicmikan: whats going on here
[07:04:39]  chef_zack: still runs better than pokemon
[07:04:53]  musicelliott: The game that never stops being updated lol I heard it’s kinda good now maybe
[07:05:18]  chef_zack: POGGERS
[07:05:19]  chef_zack: NO WAY
[07:05:23]  chef_zack: STRIKERS
[07:05:50]  haine_sense1: this was on gamecube wasn't it?
[07:06:03]  cosmicmikan: when will we get another fire emblem
[07:06:03]  chef_zack: Pog WTF
[07:06:04]  cosmicmikan: thats what i wanna know
[07:06:07]  chef_zack: shitty online sure
[07:06:23]  haine_sense1: @cosmicmikan there was a fire emblem announcement first
[07:06:42]  cosmicmikan: WHAT
[07:06:43]  cosmicmikan: NOOOOOOOOOOOOO
[07:06:46]  cosmicmikan: IM SO UPSET
[07:06:47]  chef_zack: BatChest fe
[07:07:12]  robertzarmy: did they announce xenoblade 3 yet
[07:07:38]  haine_sense1: I was watching this on Linkus' stream but clearly your stream is superior
[07:07:52]  chef_zack: rob we're 5 minutes in
[07:08:04]  robertzarmy: oh ok
[07:08:20]  chef_zack: yes
[07:08:27]  thxrd: hello K
[07:08:34]  laurabraus: how did you KNOW
[07:08:36]  robertzarmy: dumbtoon
[07:08:46]  cosmicmikan: prediction MASTER
[07:08:58]  haine_sense1: I should care about Xenoblade but only since my brother translated the first one for British english
[07:09:18]  haine_sense1: the first splatoon game was fun
[07:09:18]  robertzarmy: this doesnt look good
[07:09:26]  laurabraus: agreed
[07:09:29]  chef_zack: translated to british
[07:09:36]  robertzarmy: it does look bad
[07:09:42]  cosmicmikan: imma have to look up the fire emblem announcement
[07:09:43]  robertzarmy: i would not want to play this
[07:09:47]  cosmicmikan: yes im still mad i missed
[07:09:54]  chef_zack: yeah sorry guys i cant play this game, it doesnt have british english
[07:09:57]  robertzarmy: pve splatoon dude
[07:09:59]  robertzarmy: so dumb
[07:11:03]  laurabraus: the whole chat is like "this is horrible" like same
[07:11:10]  haine_sense1: it looks like a chicken and it's called salmon run
[07:11:17]  haine_sense1: is that a chicken run reference?
[07:11:36]  laurabraus: another REMAKE
[07:11:36]  cosmicmikan: no clue
[07:11:41]  chef_zack: looks like fe
[07:11:44]  cosmicmikan: HONESTLY
[07:11:51]  laurabraus: catfished
[07:11:54]  haine_sense1: why do we keep having fire emblem style games
[07:11:59]  chef_zack: 3 strategy games
[07:12:27]  robertzarmy: holy shit
[07:12:27]  chef_zack: disney BatChest
[07:12:29]  robertzarmy: mario kart 9
[07:12:33]  haine_sense1: will this be bad
[07:12:38]  haine_sense1: probably
[07:12:40]  laurabraus: @robertzarmy LMAO
[07:12:57]  haine_sense1: lol
[07:13:00]  chef_zack: f2p Pog
[07:13:04]  cosmicmikan: OK BET
[07:13:08]  laurabraus: DAMN
[07:13:08]  chef_zack: disneykart
[07:13:13]  cosmicmikan: i can't wait to go 8th every game
[07:13:37]  cosmicmikan: that looks TERRIBLE
[07:13:42]  chef_zack: it was made in 2008
[07:13:47]  cosmicmikan: oooh ok
[07:13:51]  cosmicmikan: makes sense then
[07:13:54]  robertzarmy: u look like a ps2 game running on an emulator
[07:14:10]  cosmicmikan: WHAT
[07:14:10]  cosmicmikan: HOW
[07:14:12]  chef_zack: assassins creed BatChest
[07:14:27]  laurabraus: half the switch library is just becoming re-releases
[07:14:39]  haine_sense1: it means that ps2 games running on emulators all wear masks
[07:14:43]  robertzarmy: woah 15 fps assassins creed game
[07:14:45]  robertzarmy: so epic
[07:15:02]  cosmicmikan: LUL
[07:15:04]  chef_zack: i wanna see some god damn zelda
[07:15:21]  laurabraus: another....remaster...
[07:15:23]  haine_sense1: a bad remaster
[07:15:24]  chef_zack: take a shot everytime they say remaster
[07:15:25]  robertzarmy: remaster #5 BatChest
[07:15:31]  laurabraus: @Chef_Zack for real
[07:15:48]  robertzarmy: they aint doing botw 2
[07:15:49]  robertzarmy: noo shot
[07:16:16]  chef_zack: if they released mother 3 that would make sense
[07:16:20]  haine_sense1: I care about re-releases if they weren't originally released on Nintendo consoles
[07:16:26]  chef_zack: Pog kirby
[07:16:35]  laurabraus: omg yesss this kirby game
[07:16:53]  chef_zack: god damn
[07:16:58]  haine_sense1: oops, he ate a car
[07:17:00]  laurabraus: CARBY
[07:17:19]  kaeos: ktr(zetto)
[07:17:19]  robertzarmy: never seen the appeal in kirby tbh
