# Start logging at 2022-02-20 10:08:05 Tokyo Standard Time
[10:08:05] ktrZetto is live!
[10:08:05] 2022年2月20日
[10:08:47]  rinta_rnt: Cheer1 ハードオフ行けます
[10:10:23]  streamelements: ktrZetto is now live! Streaming Super Mario 64: 【EN/JP】 weebs welcome~ | HAPPY WEEKEND SPEEDRUN
[10:10:42]  andrewangus: こんにちは
[10:10:52]  rinta_rnt: こんにちは
[10:14:35]  chisasfam: HELLOOOO
[10:14:40]  chisasfam: How are you!
[10:14:44]  chisasfam: wait
[10:14:49]  chisasfam: i dont recognise you?
[10:14:52]  chisasfam: who are you again?
[10:15:32]  chisasfam: i dont think ive ever seen you in my life
[10:15:41]  chisasfam: are you the guy who plays mario?
[10:15:52]  chisasfam: who is me?
[10:15:56]  chisasfam: youre mizkif?
[10:15:59]  chisasfam: OHHH I SEE IT NOW
[10:16:01]  chisasfam: hey miz
[10:17:31]  chisasfam: amogus
[10:17:54]  chisasfam: ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio ktrzetD ratio
[10:18:38]  chisasfam: what did you do
[10:18:41]  chisasfam: Did you fall
[10:18:47]  chisasfam: who is that on your hoodie?
[10:18:49]  chisasfam: is it sonic
[10:19:15]  chisasfam: OHHH i thought it was wall E
[10:19:37]  saltychildofthesea: schabo1Woooooow Tow Mater hoodie
[10:19:54]  chisasfam: tow mater motr likr
[10:19:57]  chisasfam: toes mating
[10:20:00]  chisasfam: am i right
[10:20:15]  chisasfam: my favourite movie is the lego movie
[10:21:16]  saltychildofthesea: my fav movie is Mac and Me
[10:21:30]  chisasfam: what about the moshi monsters movie
[10:22:26]  chisasfam: bro
[10:22:32]  chisasfam: do you not know moshi monsters
[10:22:34]  chisasfam: look it up
[10:22:36]  saltychildofthesea: ppL yo
[10:22:39]  chisasfam: it was a game
[10:23:04]  saltychildofthesea: keyword "was"
[10:23:04]  chisasfam: it was like a
[10:23:10]  chisasfam: look after your own pet game
[10:23:16]  chisasfam: it was a popular childrens game
[10:23:36]  chisasfam: its from like 2004-2008
[10:23:38]  chisasfam: yeah kinda
[10:23:42]  chisasfam: but not really idk
[10:23:50]  chisasfam: it closed in 2020
[10:24:56]  chisasfam: it closed bc the gen who played it (me B) )  all grew up and the newer generation of children werent interested in those types of games
[10:25:03]  chisasfam: Moshi Monsters lore
[10:25:46]  saltychildofthesea: didn't it get shut down because of flash getting shot
[10:25:49]  chisasfam: the company who made the game now do like children songs or something idk
[10:26:05]  chisasfam: @saltychildofthesea originally but they managed to stay open like alot of games did
[10:26:20]  saltychildofthesea: ah
[10:27:05]  chisasfam: you can download moshi monsters rewritten and play it still, and alot of people still play it but its not as popular
