# Start logging at 2022-04-06 02:07:39 Tokyo Standard Time
[02:07:39]  andrewangus: 71 woodcutting
[02:07:39] 2022年4月6日
[02:24:13]  scottief: pog
[03:21:43]  marcedone: cool
[03:29:50] disconnected
[03:29:50] Server connection timed out, reconnecting
[03:29:52] connected
[07:24:38] ktrZetto is live!
[07:25:21]  streamelements: ktrZetto is now live! Streaming Super Mario Galaxy 2: [EN/JP] 弱者の奮闘
[07:25:55]  babsmcnh: ktrzetWorse
[07:26:13]  chef_zack: yeah babs brain kinda slow
[07:26:27]  chef_zack: are you on dolphin?
[07:26:37]  chef_zack: based
[07:26:45]  babsmcnh: Oh shit Zetto is confident about himself now FeelsStrongMan
[07:26:52]  chef_zack: i cant get dolphin to play this game without slowdown
[07:26:53]  babsmcnh: You were in the video
[07:26:58]  babsmcnh: WAIT WHAT
[07:27:04]  babsmcnh: YOU CALLED ME THAT ktrzetAyo
[07:27:07]  chef_zack: BatChest WHAAAT
[07:27:23]  babsmcnh: How dare you >:(
[07:27:43]  babsmcnh: Guess how much points I’m on btw HYPERS
[07:27:52]  babsmcnh: Lmao makes sense
[07:28:20]  babsmcnh: I have 60K Prayge
[07:28:38]  babsmcnh: Just need a couple more bets and I’m a VIP: beware
[07:28:50]  chef_zack: Prayge please make it 150k
[07:28:57]  babsmcnh: Zack NOOOO
[07:29:02]  haine_sense1: hi
[07:29:10]  babsmcnh: Hi haine HYPERS
[07:29:40]  babsmcnh: monkaS but I’m amazing whyd you take it away
[07:29:51]  haine_sense1: I just failed at Zpordle :(
[07:30:00]  huckleberry262: morning Z
[07:30:08]  babsmcnh: Okay I think I’ll get 100K soon enough
[07:30:26]  usausachu: I thought this was SM64 for 2 seconds
[07:30:27]  haine_sense1: Zpordle is a number theory based world s
[07:30:32]  usausachu: I was like ???? Where are there spikes like that
[07:30:35]  haine_sense1: wordle spinoff
[07:30:39]  babsmcnh: Usa! ktrzetChill
[07:31:02]  rinta_rnt: Cheer1 弱者の奮闘
[07:31:03]  usausachu: @babsmcnh usausaWiggle usausaWiggle
[07:31:20]  babsmcnh: I think you go backwards zetto
[07:31:34]  babsmcnh: Like come back for it?
[07:31:57]  haine_sense1: heh :)
[07:32:21]  babsmcnh: Should I eat food monkaHmm ?
[07:32:25]  303devilfish: clintR
[07:32:59]  cosmicmikan: hihi
[07:33:06]  babsmcnh: ktrzetYay he figured it out ( from chats help)
[07:33:15]  babsmcnh: MIKAN ktrzetD
[07:33:45]  huckleberry262: God gamer
[07:33:56]  cosmicmikan: good!
[07:33:59]  usausachu: It’s 3PM
[07:34:02]  cosmicmikan: playing genshin with friends
[07:34:03]  babsmcnh: ktrzetWorse
[07:34:09]  usausachu: I went to the doctor office
[07:34:22]  chef_zack: OMEGALUL green stars
[07:34:36]  babsmcnh: You’re really good at this zetto ktrzetSmile
[07:35:23]  haine_sense1: cool level
[07:35:33]  babsmcnh: I was being genuine ktrzetSmile
[07:35:52]  haine_sense1: I'm not playing Celeste tonight so I can actually focus on stream
[07:36:01]  usausachu: Im playing Genshin alone
[07:36:05]  usausachu: Sadge
[07:36:20]  usausachu: And I got free insurance so it’s ok
[07:36:30]  usausachu: It is NODDERS
[07:36:31]  cosmicmikan: yuo can always play with us <3
