# Start logging at 2022-05-14 06:52:03 Tokyo Standard Time
[06:52:03] connected
[06:52:04] ktrZetto is live!
[06:52:53]  haine_sense1: WOOO HE'S BACK
[06:52:53] Haine_Sense1 subscribed at Tier 1. They've subscribed for 7 months!
[06:53:22]  haine_sense1: dunno when the 7 months actually was, but it gave me the option
[06:53:25]  streamelements: ktrZetto is now live! Streaming Super Mario 64: EN/JP | it feels so empty without me
[06:53:35]  babsmcnh: OMG ZETTOOOOO HYPERS
[06:53:48]  babsmcnh: Wassupppp
[06:54:16]  haine_sense1: is it time for me to be cringe?
[06:54:16]  babsmcnh: i can’t wait for the chokes
[06:54:34]  babsmcnh: I was gonna go to sleep but I can hang around for a bit
[06:55:00]  babsmcnh: cringe monkaHmm
[06:55:02]  haine_sense1: NOOOO DON'T DISAPPEAR AGAIN :(
[06:55:15]  haine_sense1: of course, if you need to, feel free but like, heh
[06:55:20]  babsmcnh: It hasn’t been two months right…
[06:55:28]  babsmcnh: Damn that’s nuts
[06:55:44]  haine_sense1: last stream was 16/04/2022
[06:55:51]  haine_sense1: so not quite a month
[06:56:05]  robertzarmy: it's been 3 years...
[06:56:09]  babsmcnh: It’s weird not having the late night zetto stream for a bit
[06:56:12]  babsmcnh: Pog ROBB
[06:56:17]  babsmcnh: How you doing?
[06:56:19]  fisherangus: okaeri Pog
[06:56:21]  kirosthegreat: inkkLurk
[06:56:29] darkphoeen1x redeemed Sound Alert: say hello! 100
[06:56:32]  babsmcnh: Andrew toooo :3
[06:56:47]  kirosthegreat: It's been a while since I've seen you mate. Hope you been well.
[06:57:03]  babsmcnh: No don’t be like Clint Sadge
[06:57:14]  robertzarmy: first amatsuka uto and now ktrzetto.
[06:57:24]  darkphoeen1x: close to midnight for me rn
[06:57:27]  haine_sense1: early morning zetto stream = late night zetto stream
[06:57:42]  babsmcnh: I mean not playing any video games for an entire month would feel long for me
[06:57:50]  kirosthegreat: orooPat
[06:58:30]  robertzarmy: you gotta be more famous before you can go rogue.
[06:58:31]  babsmcnh: Are you still a god at MK PauseChamp
[06:58:43]  babsmcnh: Rob has a point
[06:58:48]  kirosthegreat: Well it's good to see you, even if life's been a mixed bag lately usausaWiggle
[06:59:03]  haine_sense1: just before stream I was just talking with a friend about how I wanted to make a 3D renderer and apply it to rendering 4D space
[06:59:26]  deohang: It’s ya boy jack, stole Jenny’s phone, hope you’re ok lad x
[06:59:26] DeoHang subscribed at Tier 1. They've subscribed for 7 months, currently on a 7 month streak!
[06:59:27]  babsmcnh: That sounds tough as hell haine
[06:59:44]  babsmcnh: Good luck :)
[06:59:44]  robertzarmy: its only late for eu frogs
[06:59:46]  robertzarmy: and they don't matter
[07:00:09]  babsmcnh: Ey that’s true rob once I leave the EU
[07:00:15]  nightbot: You probably shouldn't give any streamer money. I'm not a financial advisor but that is financial advice. But if you want to help support the channel, and more importantly, help your boy get paid, feel free to click the link. Please give me your money. https://streamlabs.com/ktrzetto/tip https://www.twitch.tv/products/ktrZetto
[07:00:20]  babsmcnh: But for now EU frogs are the most important
[07:00:21]  chachatheboy: OMG HIIII CUTIE
[07:00:31]  natoleoo: KTR !!!!!!!
[07:00:31]  robertzarmy: its true especially because youre there babs
[07:00:32]  natoleoo: HELLO
[07:00:54]  haine_sense1: @ChachaTheBoy oh hey, someone agrees with me
[07:00:54]  babsmcnh: Aw so many people joining the chat how cute
[07:01:10] chachatheboy redeemed Sound Alert: 💕Wha～o💕 500
[07:01:17]  haine_sense1: @babsmcnh ikr
[07:01:31]  babsmcnh: @robertzarmy if you’re trying to make me mad there’s no chance peepoHug I haven’t talked to you in ages I hope you’re vibing
[07:01:35] robertzarmy redeemed Sound Alert: ANKHA ZONE 2000
[07:01:46]  babsmcnh: pepeJAM
[07:01:52]  babsmcnh: oh wait catJAM
[07:01:57]  robertzarmy: catJAM
[07:02:23]  haine_sense1: I'll be here, you wouldn't believe how much I've missed you <3
[07:02:41]  babsmcnh: Lol even if it’ll be gone, at least they were here FeelsStrongMan Clap
[07:02:43]  robertzarmy: babsmcnh its summer and I just play apex all day
[07:02:54]  babsmcnh: Are you good at apex?
[07:03:16]  robertzarmy: I think I'm decent
[07:03:17]  kirosthegreat: Rendering 4D has to be weird without a 3D medium... We can project 3D on a 2D screen like this game, but imagine trying to project 3D on a 1D surface. That's why I think it's useless to try to show 4D on any screen orooShrug
[07:04:04]  babsmcnh: Interesting point of view kiros
[07:04:17]  babsmcnh: Yeah I agree
[07:04:25]  babsmcnh: I think Pepega
[07:04:44]  robertzarmy: it is summer because my school year is over
[07:04:56]  babsmcnh: Also zetto still has good music taste HYPERS
[07:05:20]  haine_sense1: @KirosTheGreat a common method is just to render a 3D cross-section of the 4D world
[07:05:25]  babsmcnh: Does that mean you’ll get WR in a week PauseChamp
[07:05:46]  robertzarmy: I normally don't get out until mid june
[07:05:49]  robertzarmy: but college is just sick
[07:06:06]  haine_sense1: @KirosTheGreat and allow for rotating/shifting the cross section
[07:06:15]  babsmcnh: In Canada I think schools finish by may 1st
[07:06:33]  babsmcnh: And then for the UK it’s like June depending on the place
[07:06:54] rinta_rnt subscribed with Prime. They've subscribed for 6 months, currently on a 1 month streak!
[07:07:02]  babsmcnh: RINTA POGGERS
[07:07:17]  babsmcnh: this is the godfield friend of yours right?
[07:07:17]  robertzarmy: RINTAOMG!!
[07:07:26]  rinta_rnt: irl
[07:07:27]  robertzarmy: I'm his godfield friend
[07:07:43]  babsmcnh: Ahhhh ok ok hi rinta ktrzetSmile
[07:07:56]  robertzarmy: you'd know if you talked in zettos server babs.
[07:07:56]  babsmcnh: What am I to zetto then rob
[07:08:23]  kirosthegreat: @Haine_Sense1 yesss! That's the only method that makes sense intuitively, but you only get a little bit of the picture, because, obviously, nature of cross section orooShrug
[07:08:23]  babsmcnh: I never talk in the server cuz then I’d just be rambling to myself
[07:08:34]  babsmcnh: Like I usually do in other channels or chats
[07:08:47]  rickitarr64: omgomgomg
[07:09:11] rickitarr64 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak!
[07:09:24]  rinta_rnt: Cheer1
[07:09:24]  babsmcnh: Ricki HeyGuys sup man
[07:09:24]  rickitarr64: missed you so much!
[07:09:26]  robertzarmy: laura rambles to herself all the time babs you wont be the only one
[07:09:43]  karoshid: I gtg but I will be sure to check you out next time you are live!
[07:09:48]  rickitarr64: @babsmcnh hey!
[07:10:04]  robertzarmy: IM YOUR BIGGEST FAN!!!!!!!!!!!!!!!!!!!
[07:10:04] robertzarmy subscribed with Prime. They've subscribed for 5 months!
[07:10:26]  babsmcnh: No I’m not saying it’s not active, I’m just saying I already talk so much in clintcord I don’t wanna fuck up my hands constantly talking in ur group chat too
[07:10:57]  babsmcnh: Bro you know who I haven’t seen in ages? Elliot Pog
[07:11:03]  robertzarmy: damn already back after they bullied you out
[07:11:05]  robertzarmy: weak
[07:11:06]  babsmcnh: I wonder how he’s doing in Japan
[07:11:07]  kirosthegreat: I am your biggest fake fan. But here's some bits to make up for my shortcomings Kappa100
[07:12:06]  babsmcnh: @robertzarmy OMEGALUL I take breaks now more but I think I know who to talk to and who not to talk to anymore
[07:12:41]  babsmcnh: I tried being friends with everyone and some people are naturally really aggressive to people who are pretty open like me
[07:12:53]  kirosthegreat: 𝑺𝒄𝒓𝒆𝒘 𝒘𝒐𝒓𝒌. 𝑳𝒆𝒕'𝒔 𝒑𝒂𝒓𝒕𝒚.
[07:12:53]  robertzarmy: yeah like me.
[07:12:56]  babsmcnh: I feel that zetto
[07:12:59]  robertzarmy: bitch.
[07:13:28]  robertzarmy: have you considered quitting your job zetto
[07:13:32]  babsmcnh: Rob you’re nice most of the time - your petty attempts at insults can’t get to me :)
[07:13:45]  babsmcnh: Zetto becomes a full time streamer Pog
[07:14:07]  haine_sense1: how much money do you need?
[07:14:40]  babsmcnh: Oh shit I just remembered I finally have a group therapy appointment soon HYPERS they finally have booked me in
[07:14:41]  kirosthegreat: nihmunSus  You could just find a wealthy businessman to marry.
[07:14:52]  babsmcnh: Zoomers only B)
[07:15:55]  babsmcnh: I feel like if I was able to retire I’d just stay in my bed 24/7 and die from blood clots
[07:16:09]  robertzarmy: we already got haine
[07:16:11]  babsmcnh: Becoming famous sounds fucking horrible
[07:16:22]  kirosthegreat: If Zetto gets a thousand viewers or more, he'll never see my sexual advances yuniiSad
[07:17:01]  haine_sense1: there tends to be less weird people active in massive streams just because there are also people who aren't to keep them in check
[07:17:11]  babsmcnh: I think I’d rather not retire than be famous
[07:17:40]  babsmcnh: People get into my mental way too easy, being famous would be horrible for me
[07:17:51]  babsmcnh: Blood clots because I wouldn’t move around much
[07:18:03]  303devilfish: go clint go HYPERS
[07:18:06]  babsmcnh: Ohhhh yeah that does suck
[07:18:13]  babsmcnh: DEVILLLLL <3
[07:18:20]  kirosthegreat: The world is going to be a strange place by the time we're retirement age... And half of it is going to be in VR chat nihmunSus
[07:18:33]  robertzarmy: If I was retired I would do the exact same thing I'm doing now
[07:18:43]  babsmcnh: The other half is going to be horrible climate conditions HYPERS
[07:18:50]  303devilfish: you left for a month so could have fooled me
[07:19:01]  robertzarmy: we're all gonna be dead before we're that age
[07:19:02]  babsmcnh: Lol
[07:19:31]  kirosthegreat: Aye
[07:19:42]  babsmcnh: I hope that before I die the UK is able to get nacho cheese Doritos
[07:19:48]  robertzarmy: I just hope VR is sick as hell when I'm 80
[07:19:51]  robertzarmy: all I need
[07:19:56]  haine_sense1: @babsmcnh priorities
[07:20:08]  babsmcnh: I really think with my state already, my brain and hands will be screwed when I’m old
[07:20:21]  303devilfish: now
[07:20:24]  303devilfish: Sadge
[07:20:32]  huckleberry262: smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol welcome back brother
[07:20:37]  robertzarmy: no its cause of joe biden. driving this country to ruin.
[07:20:51]  babsmcnh: Lol you gotta read the climate change report PepeLaugh
[07:21:12]  haine_sense1: @robertzarmy ah yes, global warming is specifically american
[07:21:18]  huckleberry262: smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol sub 1 today smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol for sure
[07:21:29]  babsmcnh: A lot of climate experts are pretty depressed because best case scenario we are still screwed
[07:21:35]  babsmcnh: You can cry after reading it
[07:21:51]  robertzarmy: Haine_Sense1 I said joe biden not global warming. did you read my message.
[07:21:57]  huckleberry262: smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol nah fam you finna EAT smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol today
[07:22:17]  huckleberry262: smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol smc5Emptyemotelol sry
[07:22:23]  haine_sense1: no, he's using empty emotes
[07:22:23]  babsmcnh: I talked to other eng people and I think our best hope is getting another Einstein in the energy sector for green energy
[07:22:41]  robertzarmy: but will we die in our lifetime
[07:22:50]  haine_sense1: I would guess it's transparent
[07:22:57]  babsmcnh: So for the report they do chances using simulations
[07:23:07]  huckleberry262: smc5Emptyemotelol
[07:23:19]  babsmcnh: And for like 90% of the simulations of negative impacts it’s like “extremely likely”
[07:23:21]  haine_sense1: lol, nice highlight
[07:23:54]  babsmcnh: Like earlier deaths, water crisis, food shortage, improper soil, more deviating natural disasters etc.
[07:23:58]  babsmcnh: This is by 2100
[07:24:02]  303devilfish: AYAYA Clap
[07:24:24]  babsmcnh: So we’ll probably see the worst environment in human history by the end of our lives
[07:24:29]  haine_sense1: @babsmcnh OH SHIT I WILL ACTUALLY HAVE A LIFE BEYOND 50 :(
[07:24:42]  babsmcnh: It’s okay though we will try to mitigate it HYPERS
[07:24:58]  babsmcnh: *eng = engineering
[07:25:06]  robertzarmy: you're being very positive babs
[07:25:09]  303devilfish: i'm in geography and trying to explain global warming to people who just say it's fake is really depressing Sadge
[07:25:09]  robertzarmy: it's good to hear!
[07:25:20]  kirosthegreat: I'm a natural disaster Sadge
[07:25:33]  babsmcnh: lol I’m sure it’ll be okay - it’s not good to think that everything will be over at once
[07:25:46]  robertzarmy: bermuda is fucked dude.
[07:25:55]  babsmcnh: PepeHands
[07:26:05]  haine_sense1: I've heard Cambridge will not last very long :)
[07:26:05]  babsmcnh: DONT MENTION MY HOME :(
[07:26:35]  babsmcnh: This will happen over years but i think it’s pretty annoying that politicians and economics are literally screwing over the entire lifespan of humanity
[07:26:52]  robertzarmy: all I need is one apex game with amatsuka uto
[07:27:01]  robertzarmy: and then whatever can happen i dont care
[07:27:12]  babsmcnh: Like at this point globalization of political systems is the only clear way we could stop it easily, but that would never happen
[07:27:40]  haine_sense1: Cambridge is not by the ocean but it is low
[07:27:59]  babsmcnh: Oh yeah cuz of the sinking lands and stuff think about the political and immigration problems because of it
[07:28:09]  303devilfish: But the stupid fucks vote in the stupid fucks Sadge
[07:28:12]  babsmcnh: ITS GONNA BE OKAY THOUGH :3
[07:28:25]  haine_sense1: @babsmcnh it's not tho
[07:28:32]  babsmcnh: The thing is that the terms are only 4 years usually
[07:28:39]  robertzarmy: KILL THEM
[07:28:48]  303devilfish: some dipshit politician dropped a snowball onto the senate floor in the middle of winter and was like LOOK ITS ALL FAKE LMAO,
[07:29:00]  babsmcnh: The stupid fucks will get back in and then they’ll go back to the same old shit
[07:29:08]  babsmcnh: DEVIL NOOOO
[07:29:28]  babsmcnh: Well the only thing we have left is hope haine Prayge
[07:29:37]  haine_sense1: we don't have hope tho
[07:30:00]  babsmcnh: I’d rather stay hopeful on the future than be depressed about  it - I’d wanna find a solution
[07:30:05]  babsmcnh: I HAVE HOPE :)
[07:30:13]  haine_sense1: @babsmcnh fair enough I guess
[07:30:35]  haine_sense1: OH YEA!!! WE NEED A WORLD WAR WITH ONE NATION WINNING :)
[07:30:35]  robertzarmy: thats just putin
[07:31:10]  babsmcnh: Yeah zetto there are so many cons to globalization but some countries emit so much pollutants that other countries that don’t emit basically have no effect
[07:31:29]  babsmcnh: So yeah I think the Einstein option is our best bet
[07:31:38]  babsmcnh: But we gotta keep moving forward!!!
[07:31:49]  babsmcnh: I believe in you guys ;)
[07:32:13]  babsmcnh: In whatever jobs you do I hope you try ur all and I’ll try my best too HYPERS
[07:32:42]  kirosthegreat: NODDERS
[07:33:23] robertzarmy redeemed Sound Alert: say hello! 100
[07:33:35]  babsmcnh: Tbh I think the fact that humans are humans will be our downfall if that makes sense
[07:33:53]  soundalerts: rinta_rnt played door knock for 10 Bits
[07:34:01]  babsmcnh: We focus on enjoyment rather than progress if that makes sense
[07:34:14] 303devilfish redeemed Dab 200
[07:34:22]  babsmcnh: I like that about us, I’d hate for everyone to be robots n shit
[07:34:37]  haine_sense1: @babsmcnh well what's there to live for if not enjoyment?
[07:34:42]  babsmcnh: Like we have jobs for fashion, entertainment etc.
[07:34:44]  robertzarmy: money
[07:34:50]  babsmcnh: Lol
[07:34:52]  303devilfish: anime
[07:35:02]  babsmcnh: I appreciate those jobs they make me happy
[07:35:05]  haine_sense1: @303Devilfish that's enjoyment
[07:35:13]  robertzarmy: hot wife .
[07:35:24]  kirosthegreat: Mhm
[07:35:29]  babsmcnh: But I’m just saying in an ideal scenario if we did 100% progress we would’ve fixed this problem
[07:35:30]  haine_sense1: what's considered progress?
[07:35:54]  303devilfish: more GDP
[07:35:57]  babsmcnh: Yeah that’s kinda true - they focused on progress rather than consequences
[07:36:19]  babsmcnh: But that’s why I’m doing sustainable engineering :) so in the future i don’t fuck over someone
[07:36:46]  haine_sense1: Hey Zetto, are you enjoying these super positive stream vibes?
[07:36:51]  babsmcnh: LMAOOOOO
[07:37:04]  babsmcnh: bro he’s not gonna stream again cuz of MEEEE
[07:37:07]  babsmcnh: OMEGALUL
[07:37:18]  babsmcnh: Wait what how is that possible
[07:37:22]  babsmcnh: monkaW
[07:37:33]  kirosthegreat: None of this really matters anyhow. Life will eventually come to an end and the universe will continue towards its heat death yiidolHappy
[07:37:44]  robertzarmy: I'll be dead before we all die so who cares
[07:37:50]  303devilfish: deth nyannBlankies
[07:37:54]  babsmcnh: That’s true kiros!
[07:37:56]  haine_sense1: @robertzarmy so you won't be the last person to die?
[07:37:58]  kirosthegreat: Good news is that time will erase all of humanity's mistakes
[07:38:12]  babsmcnh: But at least I was alive when you guys were HYPERS
[07:38:13]  robertzarmy: that makes no sense haine
[07:38:34]  robertzarmy: ResidentSleeper
[07:38:39]  robertzarmy: peepoLeave
[07:38:49]  babsmcnh: I honestly don’t mind you talking about econ
[07:38:57]  kirosthegreat: Shit, numbers are my jam. Talk about economics all you want ^^
[07:39:07]  babsmcnh: As long as econ doesn’t make YOU depressed
[07:39:15]  babsmcnh: Bro what do I do
[07:39:16]  303devilfish: is alcohol a luxury
[07:39:23]  babsmcnh: I’m just getting out of school wtf
[07:39:24]  haine_sense1: OH NO ZETTO'S GIVING FINANCIAL ADVICE
[07:39:31]  babsmcnh: Lol
[07:40:00]  105superai0nx0meganer0: Believes the IRL streaming will happen for the coming summer yay
[07:40:29]  105superai0nx0meganer0: Hi Zetto
[07:41:04]  babsmcnh: Zetto I have an idea, if you tell three people to give you money and I tell three people to give me money we will be fine
[07:41:11]  babsmcnh: I call it a triangle scheme
[07:41:18]  303devilfish: monkaS 👉 📉
[07:41:32]  babsmcnh: How much is Russian down PepeLaugh
[07:41:35]  babsmcnh: HAHAHHA
[07:41:57]  105superai0nx0meganer0: Awww, trust IRL streaming again
[07:42:06]  105superai0nx0meganer0: ktrzetSmile ktrzetSmile
[07:42:08]  kirosthegreat: The States have cost of living increases built into social security, so it's not much of a concern for typical people. Anyone who depends on a certain amount of wealth will have it hard though. Then you absolutely need to save up about half of your earnings.
[07:42:08]  babsmcnh: Pog
[07:42:15]  haine_sense1: nico nico streams still exist?
[07:42:24]  babsmcnh: Sukkuno :)
[07:42:29]  babsmcnh: Wait WHAT how
[07:42:55]  babsmcnh: Damn I thought the ruble was still shit
[07:43:03]  kirosthegreat: CHAAAARTS
[07:43:16]  kirosthegreat: Oh shit, my fish is burning. Back in a minute.
[07:43:17]  303devilfish: terra luna PepeLaugh
[07:43:18]  babsmcnh: CHARTS HYPERS
[07:43:26]  105superai0nx0meganer0: was surprised he went youtube gaming
[07:43:40]  babsmcnh: After these charts I’m gonna go to sleep
[07:43:43]  babsmcnh: WOAHHHH
[07:43:45]  babsmcnh: MY EUES
[07:43:57]  haine_sense1: this is kinda too depressing for me, might go do maths
[07:44:04]  babsmcnh: Awwww
[07:44:19]  bauldi: !lurk
[07:44:19]  nightbot: bye bitch
[07:44:26]  babsmcnh: I know this sounds alarmist but tbh there’s always a challenge for generations
[07:44:32]  babsmcnh: We will get through this B)
[07:44:38]  haine_sense1: @babsmcnh unconvinced
[07:44:52]  babsmcnh: I’m bad at convincing lol
[07:44:56]  303devilfish: NOTED
[07:45:04]  babsmcnh: But there are always great things ahead in the future
[07:45:16]  babsmcnh: Just gotta wait and see for the surprises
[07:45:31]  babsmcnh: That’s nuts
[07:45:50]  babsmcnh: Wait so this is good for me right?
[07:45:51]  haine_sense1: I know there's nothing I can do unless I learn maths tho since I'm not gonna want to do anything important unless it's maths related
[07:45:57]  babsmcnh: If I wanna travel over there
[07:46:45]  babsmcnh: That’s fine haine :) anything you do will be important for society I’m sure of it! You have so much potential, we all do HYPERS
[07:47:08]  haine_sense1: @babsmcnh but I just wanna play celeste
[07:47:29]  babsmcnh: Celeste is good - do maths AFTER celeste lol
[07:47:42]  haine_sense1: I don't have Celeste with me :(
[07:47:54]  haine_sense1: I'll have to do maths and Celeste in about 7 weeks :(
[07:47:55]  babsmcnh: Ah do maths whenever lol take your take
[07:47:55]  bauldi: my man you really lookin at STONKS
[07:47:58]  babsmcnh: *time
[07:48:08]  babsmcnh: He’s a stock market legend
[07:48:25]  babsmcnh: Zetto made me lose $2K dollars Pog
[07:48:32]  babsmcnh: I’m in energy lol
[07:49:07]  babsmcnh: It’s kinda a requirement that’s one of the reasons why I chose it tbh
[07:49:17]  bauldi: howre your NFTs doin arriva2Walter
[07:49:49]  babsmcnh: HOLYYYYYYY
[07:49:58]  babsmcnh: When was the dot com crash
