# Start logging at 2022-09-12 01:28:46 Tokyo Standard Time
[01:28:46] connected
[07:50:14] ktrZetto is live!
[07:51:19]  streamelements: ktrZetto is now live! Streaming Omori: JP/EN | おやすみ ( ˘ ω˘  )ｽﾔｧ… CLOSE YOUR EYES [short]
[07:52:22]  chisasfam: helloooo
[07:52:34]  chisasfam: <3
[07:52:34] Chisasfam subscribed at Tier 1. They've subscribed for 6 months, currently on a 2 month streak!
[07:52:46]  chisasfam: your abit quiet!!!
[07:52:51]  chisasfam: you're*
[07:53:12]  chisasfam: how is omori?
[07:53:39]  chisasfam: the game is louder than you!
[07:53:46]  chisasfam: also you didnt post the stream in your discord
[07:54:21]  chisasfam: ahhh
[07:54:52]  303devilfish: peepoArrive
[07:57:14]  chisasfam: ktrzetVibe ktrzetVibe
[07:57:31]  chisasfam: where did ktrzetvibe come from :o
[07:57:46]  chisasfam: ahhh
[07:58:14]  chisasfam: speedrun omori
[07:59:08]  chisasfam: yeah, speedrunning these types of games seems kinda dull ygm?
[07:59:44]  chisasfam: how about you ghost some bitches
[08:00:18]  nightbot: You probably shouldn't give any streamer money. I'm not a financial advisor but that is financial advice. But if you want to help support the channel, and more importantly, help your boy get paid, feel free to click the link. Please give me your money. https://streamlabs.com/ktrzetto/tip https://www.twitch.tv/products/ktrZetto
[08:01:36]  chisasfam: i have work tomorroww
[08:01:42]  chisasfam: I got a new job so I need to be ontime
[08:01:49]  chisasfam: so ima sleep, Ill stay and lurk <3
[08:01:59]  chisasfam: Digital Marketing :o
[08:02:17]  chisasfam: Yesyes, better than being a waiter T-T
[08:02:47]  chisasfam: thank you , its specialises in Music Promotion and stuff so its less corporate :)
[08:02:58]  chisasfam: but good night have a good stream! , well good morning to you lol
[08:03:52]  laurabraus: whats up
[08:04:00]  chisasfam: @laurabraus the sky
[08:04:08]  laurabraus: i thought you went to bed
[08:04:18]  chisasfam: zzzzzzz
[08:04:19]  laurabraus: dude you have a real job chisa?? damn i need to get a real job
[08:06:15]  laurabraus: mood
[08:10:36]  usausachu: Poggers
[08:10:36] UsaUsaChu subscribed at Tier 1. They've subscribed for 11 months, currently on a 10 month streak!
[08:10:38]  usausachu: usausaUSA
[08:11:02]  usausachu: Hey dude. Hope you’re well usausaHappy
[08:11:15]  usausachu: I’m gonna lurk for a bit while I do some stuff but hi
[08:16:30]  laurabraus: same wtf
[08:18:51]  laurabraus: all these rooms are hurting my eyes wtf
[08:19:20]  laurabraus: i forgot you named yourself z
[08:19:24]  laurabraus: i was like who
[08:19:41]  laurabraus: ohhhhhhhhhhhhhhhhhhhhh
[08:21:34]  laurabraus: its this one
[08:21:53]  laurabraus: are those watermelons
[08:23:49]  303devilfish: spiders monkaS
[08:24:35]  laurabraus: omori is like fuck that
[08:28:34]  laurabraus: RIGHT LOL
[08:28:36]  303devilfish: deth peepoHappy
[08:29:32]  laurabraus: GOD
[08:29:45]  laurabraus: WHAT THE HELL
[08:31:46]  303devilfish: Clueless
[08:32:13]  303devilfish: i remember this monkaS
[08:34:27]  kaeos: !lurk
[08:34:27]  nightbot: bye bitch
[08:35:41]  zeroultima6: did you water the plants?
[08:36:39]  303devilfish: peepoHappy
[08:36:57]  zeroultima6: the "true" ending is if you did water the plant
[08:37:19]  zeroultima6: Sunny and Basil"s closure
[08:38:23]  303devilfish: monkaW
[08:38:41]  303devilfish: WAYTOODANK
[08:38:49]  zeroultima6: its Black Space, nothing is happy here
[08:42:36]  303devilfish: help him D:
[08:43:29]  laurabraus: idk if it says but my symbolism would be like. you have blood on your hands
[08:43:54]  laurabraus: maybe thats not why but I MEAN
[08:44:56]  303devilfish: FeelsStrongMan
[08:47:37]  zeroultima6: its would be faster if you save before a crucial choice?
[08:52:33]  laurabraus: brb i want milk
[08:53:42]  zeroultima6: Still like Hero tho
[08:56:14]  zeroultima6: and I can still tolerate younger Aubrey sometimes, older Aubrey is a hot mess but still has some things that made her her
[08:57:28]  zeroultima6: her mom is a drunk
[08:57:58]  zeroultima6: since her dad left
[09:00:14]  303devilfish: PepePls
[09:00:19]  zeroultima6: you didn't
[09:00:42]  zeroultima6: for me, i just explore everything
