# Start logging at 2022-10-12 05:10:55 Tokyo Standard Time
[05:10:55] connected
[08:54:53] ktrZetto is live!
[08:54:55]  shotmaker93: AAAAAAAAAA
[08:55:18]  shotmaker93: Hello, all good with you?
[08:55:48]  shotmaker93: just finished to watch your last stream
[08:56:16]  anglerangus: LIVE Pog
[08:56:27]  streamelements: ktrZetto is now live! Streaming Super Mario 64: JP/ENG Practice | sick streamer :(
[08:57:29]  shotmaker93: played super mario on my game boy, the blasphemy coming from my mouth ahh
[08:58:14]  shotmaker93: the green screen
[08:58:23]  shotmaker93: and the black dot and shit
[08:58:56]  shotmaker93: probabily lost part of my eyesight back in time, might still suffering for it
[08:59:18]  shotmaker93: word, you know the pain
[09:00:50]  shotmaker93: donkey kong was fun to play
[09:01:44]  shotmaker93: Donkey Kong Country*
[09:05:44]  shotmaker93: perseverance
[09:09:50]  shotmaker93: watched バイブルブラック the best part is were she cluck like a chicken
[09:11:16]  shotmaker93: you just combo on his ass!?
[09:14:52]  shotmaker93: oh ye
[09:16:08]  shotmaker93: bible black, just mentioned, it's just a good luck charm
[09:17:01]  shotmaker93: dat shortcut
[09:18:43]  shotmaker93: you tried crash bandicott, i think  you'd do good
[09:19:52]  shotmaker93: yes as long you enjoy it sure thing
[09:20:38]  shotmaker93: some pissed off brick that was
[09:23:04]  shotmaker93: lmao i hear the parody of this song
[09:23:45]  shotmaker93: Mario's Invincible Song (Original)
[09:23:56]  shotmaker93: on Youtube*
[09:24:26]  shotmaker93: by Moxie's Korner, the channel name.
[09:25:08]  fujitoma: お久しぶりです🙏マリオ助かる
[09:29:30]  shotmaker93: you are calm and collected, i'd already flip the bed behind you bc i know i would have fucked up some parts of this level
[09:34:22]  shotmaker93: Mario has Doraemon "fanny pack" on his ass, dude been pulling large  tools since 1985
[09:39:16]  shotmaker93: Need more clucking sounds shit got jinxed
[09:39:31]  shotmaker93: haha
[09:44:50]  shotmaker93: aigh aight
[09:46:34]  kirosthegreat: You're welcome Kappa
[09:46:36]  asimplyokgamer: It’s prolly cause I’m watchin ktrzetCool
[09:47:17]  shotmaker93: did bowser got preg peach and she got wird looking mini bowser jrs?
[09:47:26]  shotmaker93: weird*
[09:48:03]  asimplyokgamer: Zetto carry me in warzone
[09:48:36]  shotmaker93: 360 no scope n shit
[09:48:49]  shotmaker93: fuck that
[09:48:51]  asimplyokgamer: You tell me this as you’re pulling off precision jumps and tactics
[09:50:14]  shotmaker93: bests G play medal of honor in singleplayer
[09:50:49]  asimplyokgamer: Just land shots like you land your jumps
[09:51:52]  asimplyokgamer: 80% is better that 95% of fps players
[09:52:20]  asimplyokgamer: Even I only got 30-40% accuracy
[09:52:57]  asimplyokgamer: I think I got adhd, can’t stick to one thing for too long, get bored real fast
[09:53:15]  shotmaker93: is because everyone jumps and shoot at the same time, fck frogs
[09:53:49]  shotmaker93: the accuracy thingy
[09:53:59]  asimplyokgamer: Bro I hyperfocus but I jump from one thing to another
[09:54:06]  asimplyokgamer: Hate it
[09:55:40]  asimplyokgamer: Also hate how coffee doesn’t even wake me up, it just makes me focused for like an hour and then I get hella sleepy
[09:56:11]  shotmaker93: burned coffe will
[09:57:05]  kaeos: have u been gaining weight
[09:57:09]  kaeos: youve been looking kinda chubby lately
[09:57:27]  asimplyokgamer: Bro if that’s chubby I’m one fat bastard
[09:57:35]  shotmaker93: lol ye
[09:57:50]  kaeos: BMI?
[09:57:53]  kaeos: bitch made index?
[09:57:58]  asimplyokgamer: Body mass index
[09:58:16]  asimplyokgamer: Dammit lol thought it was a genuine question XD
[09:58:50]  kaeos: :tf:
[09:59:31]  asimplyokgamer: You getting 100% star run?
[10:00:09]  kirosthegreat: It happens rikkuDead
[10:00:19]  kaeos: you should take an IQ test on stream
[10:00:42]  kaeos: just anything off the front page of google
[10:00:58]  asimplyokgamer: Ay zetto how much are those Copic markers in Japan?
[10:01:15]  kirosthegreat: Mensa has a mini quiz that takes 35 minutes. It's rough for it lets you get an idea
[10:01:24]  kaeos: the super fancy ones
[10:01:29]  asimplyokgamer: Some fancy drawing marker
[10:01:55]  kaeos: not a real artist
[10:02:13]  kirosthegreat: https://www.mensa.org/public/mensa-iq-challenge
[10:02:42]  kaeos: get a haircut on stream
[10:02:47]  kaeos: let rinta cut ur hair
[10:02:49]  asimplyokgamer: Yeah my lil sis wants to be an artist, so I try and find her stuff to help her improve
[10:03:20]  kirosthegreat: Probably best to do off stream unless you want content. It's super simple tho, just pick the next image in a series of patterns. No wordy questions or anything
[10:03:56]  kaeos: im confident i would get an 80 bc im really fuckin dumb
[10:04:20]  kirosthegreat: exactly
[10:04:58]  asimplyokgamer: Watch zetto get an 81, smartest of us all
[10:05:08]  kirosthegreat: Last time I scored 130. But it's just for fun. An actual test is more involved
[10:05:45]  shotmaker93: just had a good piss what are you talking about tests???
[10:05:48]  asimplyokgamer: Like that movie idiocracy, where dumbasses rule the world
[10:05:53]  chisasfam: hello zepoop
[10:06:01]  chisasfam: @Shotmaker93 niceee piss rate?
[10:06:20]  asimplyokgamer: Was it the body quiver level good piss?
[10:06:29]  shotmaker93: @Chisasfam clean precise jet, bullseye no sprinkles
[10:06:32]  chisasfam: hopefully it didnt burn
[10:06:37]  chisasfam: @Shotmaker93 niceee dude
[10:07:41]  chisasfam: 7:30 this ratio
[10:07:50]  deohang: Hoi
[10:07:50] DeoHang subscribed at Tier 1. They've subscribed for 12 months, currently on a 12 month streak!
[10:08:04]  shotmaker93: it's hard to control yes
[10:08:18]  chisasfam: how about you wake up early in the morning some bitches
[10:08:20]  shotmaker93: you gotta tame it and then proceed to pee
[10:08:37]  deohang: I just woke up to pee lmao it’s 3 am
[10:08:41]  chisasfam: im a sitter tbf so i just push down
[10:09:00]  asimplyokgamer: I lean over and aim straight into the bowl, high pressure straight stream
[10:09:29]  chisasfam: sitters >>
[10:09:43]  chisasfam: urinals are scary I dont want people watching me pee
[10:09:53]  chisasfam: red peepoLeave
[10:09:54]  deohang: Me to I’m also a sitter LOL
[10:09:58]  deohang: Too
[10:10:16]  shotmaker93: what, no ppl we pee standing, it absorbs the recoil
[10:10:29]  asimplyokgamer: They can watch all they want, they can see the 1 inch punisher and weep at its majesty ktrzetSmile
[10:10:31]  chisasfam: @Shotmaker93 who is we smh
[10:10:51]  chisasfam: @ASimplyOkGamer niceee dude
[10:11:10]  chisasfam: stand up to this ratio
[10:11:16]  shotmaker93: there are no girls here
[10:11:29]  chisasfam: not anymore
[10:11:44]  chisasfam: you forgot to but the mask back on btw
[10:11:55]  chisasfam: mic muted btw
[10:12:07]  chisasfam: yes
[10:12:10]  chisasfam: its muted
[10:12:18]  chisasfam: It is muted
[10:12:49]  asimplyokgamer: Best flex, pissin with no hands in the morning and not spilling a drop
[10:13:13]  shotmaker93: lies
[10:13:26]  shotmaker93: no being can manage that
[10:13:49]  chisasfam: zetto I had a dream one time I had a very serious brain tumor and I had a make a wish and I chose to sing a song with hiroji miyamoto and we performed "PS I love you" infront of 1000s of people and then i woke up
[10:13:54]  shotmaker93: it will spill
[10:13:56]  chisasfam: I think I woke up bc i canonically died
[10:14:17]  shotmaker93: if you fap and then pee is not constant
[10:14:26]  asimplyokgamer: I manage that, I just lean over; just gotta not squeeze your prostate and increase the pressure it’s hard to control but not impossible
[10:14:47]  asimplyokgamer: Trick is relaxing
[10:15:07]  chisasfam: hard but possible
[10:16:11]  chisasfam: exactly
[10:16:52]  chisasfam: if you flick the pickle, choke the chicken , corn the cob , you always pee after
[10:17:16]  chisasfam: we have some pee experts in the chat
[10:17:40]  asimplyokgamer: You know my occupation, hose control is necessary usausaSalute
[10:17:44]  chisasfam: any poop experts?
[10:17:44]  shotmaker93: it's the world of being guys with functional dics
[10:18:01]  chisasfam: @ASimplyOkGamer im curious
[10:18:30]  asimplyokgamer: @chisasfam hi curious, I’m simply ktrzetSmile
[10:18:52]  chisasfam: @ASimplyOkGamer fuck you bitch loser I hope your pillow is warm that joke was unfunny take it back rn
[10:18:57]  chisasfam: love you
[10:19:12]  shotmaker93: kek
[10:19:16]  asimplyokgamer: I unironically enjoy a nice warm pillow
[10:19:30]  chisasfam: wow
[10:19:32]  chisasfam: youre a monster
[10:19:45]  chisasfam: youre both insane
[10:20:07]  chisasfam: cold pillows >>>>>>
[10:20:08]  shotmaker93: different sane sounds better
[10:20:31]  chisasfam: Zetto, and chat, Opinions on the London 2012 Olympic Mascot Wenlock, specifically wenlock not mandville
[10:21:02]  asimplyokgamer: You know what upsets me? When the waiter comes and gives ME the check for both meals when I go eat with my friend, dawg she’s got more money than me
[10:21:07]  shotmaker93: twats
[10:21:10]  chisasfam: I have plushies of the Japan mascots
[10:21:42]  chisasfam: and the london ones, But only the London Olympic, not the london paralympic bc I thought the mascot for the paralympic was ugly
[10:22:14]  chisasfam: no
[10:22:26]  chisasfam: Im into like sporting mascots for like the World Cup and Olympics
[10:22:30]  chisasfam: bc they aer cute
[10:22:32]  chisasfam: cre*
[10:23:18]  chisasfam: I have , Bejing 2008 , London 2012 , Rio 2016 and 2018 , Tokyo 2020
[10:23:23]  shotmaker93: why you couldn't just watch hentai like the rest of us more or less smh
[10:23:36]  chisasfam: @Shotmaker93 I did when I was like 13
[10:23:48]  asimplyokgamer: Ngl got bored of hentai
[10:24:09]  chisasfam: Athenes 2004 was ugly af
[10:24:18]  chisasfam: and I was also 1 so I didnt know it was a thing
[10:24:36]  chisasfam: yes
[10:24:39]  chisasfam: and world cup
[10:25:17]  chisasfam: you gotta be like
[10:25:29]  chisasfam: IN THE MOOD for hentai yk it has to specifically want that
[10:25:34]  shotmaker93: post nut trauma i see
[10:26:10]  chisasfam: when I get super depressed i like cant stand the thought of anything sexual
[10:26:25]  chisasfam: zetto fall off arc
[10:26:25]  asimplyokgamer: Bro after the nut you just look into the mirror and then just think you’re a monster
[10:27:19]  chisasfam: I just sit and hug my fat fox plushies when im super super low ygm
[10:27:23]  shotmaker93: da fuq you watch!?
[10:27:43]  chisasfam: @ASimplyOkGamer yuo gotta own it no regrets
[10:27:58]  chisasfam: it lasts a few days for me too, some times a few weeks bc I cant take meds T-T
[10:28:04]  asimplyokgamer: Nah it’s cause I’ve been tryin to stop
[10:28:45]  asimplyokgamer: Also I end up forgetting I’m sad and just go on with my day lol
[10:28:50]  chisasfam: Im just depressed and have attachment disorders xoxo
[10:29:33]  chisasfam: it spirals so easily
[10:29:53]  asimplyokgamer: Remember unaliving yourselves is never the answer
[10:30:32]  chisasfam: @ASimplyOkGamer Personally I could never, who would look after my olympic mascots
[10:30:50]  chisasfam: If you say so man *unzips pants*
[10:30:53]  kaeos: wtf is up with this chat
[10:30:56]  shotmaker93: ahh my man vent some more
[10:31:13]  kaeos: ur all horny and depressed
[10:31:22]  asimplyokgamer: The best combination
[10:31:24]  chisasfam: @kaeos these guys are piss experts
[10:31:38]  shotmaker93: facts
[10:31:44]  asimplyokgamer: @kirosthegreat ay didn’t see ya there lol
[10:31:56]  asimplyokgamer: @chisasfam and don’t you forget it
[10:32:23]  chisasfam: @ASimplyOkGamer i probably will ngl, until I see your user again
[10:33:04]  asimplyokgamer: @chisasfam don’t worry, im used to it ktrzetCool /s
[10:33:20]  chisasfam: @ASimplyOkGamer i love u
[10:33:53]  asimplyokgamer: Brooo reminds me of this girl that told me she’d never forget me and then she sent a text saying “who are you” ktrzetSmile
[10:34:16]  kaeos: L rizz
[10:34:18]  chisasfam: @ASimplyOkGamer I am sorry man T-T
[10:34:30]  shotmaker93: lmao noooo
[10:35:16]  asimplyokgamer: @chisasfam is all good, she was for the streets
[10:35:24]  chisasfam: @ASimplyOkGamer valid statement
[10:35:29]  kaeos: i just sat back down why are you an L nerd
[10:35:43]  chisasfam: l rizz w rizz how about you read a book and touch some grass
[10:36:00]  kaeos: being a poggers means ur a dweeb
[10:36:06]  chisasfam: zetto wtf
[10:36:10]  asimplyokgamer: @chisasfam ye she got a body count in the triple digits now ktrzetCool
[10:36:14]  chisasfam: how did you read it like that
[10:36:20]  kaeos: L rizz means u have no game
[10:36:25]  kaeos: u get no bitches
[10:36:28]  kaeos: ur a munch
[10:36:36]  chisasfam: @ASimplyOkGamer  PEEPEES
[10:36:44]  chisasfam: it was L Rizz, W Rizz
[10:36:47]  asimplyokgamer: @chisasfam ALOT OF EM
[10:36:48]  chisasfam: Idk what rizz means
[10:36:51]  shotmaker93: wow
[10:37:04]  chisasfam: @ASimplyOkGamer you will find someone better!
[10:37:07]  asimplyokgamer: I may not get bitches, but my wallet stayin fat
[10:37:24]  chisasfam: all ive ever known is being in a relationship, bc I have only been in two long term ones
[10:37:24]  shotmaker93: flat lol
[10:37:33]  asimplyokgamer: Flat 😂
[10:37:34]  chisasfam: like this is the longest ive been single and idk how to survive man
[10:37:54]  chisasfam: i think youd be a good bf zetto
[10:37:58]  asimplyokgamer: 24 years single, I’m 16 years to being a sage
[10:38:15]  shotmaker93: i'm divorced and now married to my right hand, said no man ever
[10:38:36]  chisasfam: everyone in digital marketing are nerds its crazy they're all boring asf
[10:38:51]  kaeos: @Chisasfam no SHOT
[10:38:57]  asimplyokgamer: Bro there ain’t no chicks at my job. And the ones that are around are not marriage material
[10:39:00]  kaeos: he buys physical hentai
[10:39:19]  chisasfam: youre nice and funny I think youd be good to date !! you just havent met the nice person
[10:39:29]  chisasfam: Ive worked in marketing before its the same T-T
[10:39:46]  kaeos: @Chisasfam this is parasocial
[10:40:10]  chisasfam: its fine im only 19 and im moving away so ill find someone over there
[10:40:25]  chisasfam: Kaeos its not, zetto said me and him are best friends the other day
[10:40:36]  kaeos: oh ok i wasnt aware
[10:40:40]  chisasfam: ok
[10:40:50]  asimplyokgamer: Bro I got saved on this girls phone as “free food” I’m fine but damn I can’t forget that
[10:41:03]  chisasfam: @ASimplyOkGamer damnnn
[10:41:05]  kaeos: thats foul
[10:41:11]  chisasfam: L women
[10:41:23]  kaeos: lets get misogynistic
[10:41:25]  shotmaker93: hehe
