# Start logging at 2022-10-16 06:26:14 Tokyo Standard Time
[06:26:14] ktrZetto is live!
[06:26:14] 2022年10月16日
[06:26:14]  shotmaker93: indeed
[06:26:40]  shotmaker93: Hello Zetto!
[06:26:51]  streamelements: ktrZetto is now live! Streaming Super Mario 64: JP/ENG Learner | just chatting(mario gameplay)
[06:27:09]  deohang: Elloo
[06:27:42]  anglerangus: LIVE Pog
[06:28:27]  shotmaker93: time to weird out Zetto a bit, it will increase is overall score
[06:31:39]  shotmaker93: https://www.youtube.com/watch?v=yTJxvKD4uog&list=LL&index=32
[06:32:20]  shotmaker93: comon man, why you do me so dirty it's safe lol
[06:33:19]  shotmaker93: aight aight tough love,tough love
[06:34:25]  shotmaker93: that's the whole point, it will increase your endorphins
[06:35:05]  shotmaker93: for the best possible result in the speedrun
[06:35:47]  shotmaker93: endorphins are produced to help relieve pain, reduce stress and improve mood
[06:36:23]  darkphoeen1x: Hey
[06:36:45]  chisasfam: what do you think youre doing
[06:36:53]  chisasfam: going live when im trying to practice singing
[06:37:15]  chisasfam: i cant
[06:37:18]  chisasfam: Im struggling
[06:37:24]  shotmaker93: actually it may or not, def will make you say WTF so there's something
[06:37:27]  chisasfam: Black Memory by the oral cigarattes is a fast song
[06:37:35]  darkphoeen1x: i'm once again rushing trough the ff14 story on a alt in ff14
[06:37:40]  chisasfam: so I cant do some of it fast enough so its STRENIOUS
[06:37:53]  shotmaker93: endorphins for everybody
[06:38:15]  chisasfam: Yes
[06:38:43]  chisasfam: Im not doing it easy by just doing it  phonetically , Im saying it properly bc yk im official
[06:38:46]  chisasfam: its a constenant
[06:38:53]  chisasfam: Vowls and constenants
[06:39:22]  chisasfam: Black Memory - The Oral Cigarettes
[06:39:31]  chisasfam: suggested the song so you can all hear what I have to suffer with
[06:39:45]  darkphoeen1x: this time on a char named hades didnothingwrong
[06:39:57]  chisasfam: I cant take pills
[06:40:05]  chisasfam: could they make a powder or liquid version
[06:40:21]  shotmaker93: there's something around pretty sure is illegal or need a prescription
[06:41:31]  darkphoeen1x: trapped who?
[06:41:48]  shotmaker93: hehe
[06:42:10]  shotmaker93: medicines*
[06:42:33]  chisasfam: the chorus I can do fine
[06:42:38]  chisasfam: But the verses kill me
[06:43:11]  chisasfam: and Powder medicine is easy to swallow just drink water with it
[06:43:47]  chisasfam: I take capsule pulls
[06:43:48]  chisasfam: pills
[06:43:55]  chisasfam: open them up and put the powder on my tounge
[06:44:00]  chisasfam: then just drink water and swallow
[06:44:14]  shotmaker93: cause powder 9/10 tastes like death i got you
[06:44:19]  chisasfam: bc Like
[06:44:50]  chisasfam: I used to be like a heavy pill taker like 2 years ago so now If I take pills it knocks me sick
[06:45:02]  chisasfam: like the thought of a pill in my mouth actually makes me feel so suck
[06:45:04]  chisasfam: sick
[06:45:50]  chisasfam: and by pill taker like drogas cartel shit B)
[06:45:51]  shotmaker93: some people can't swallow
[06:45:53]  chisasfam: yahh
[06:46:05]  chisasfam: I struggle to swallow some capsule pills too they get stuck on my tounge
[06:49:09]  shotmaker93: i like the song you are playing, <3
[06:49:48]  shotmaker93: the previous one
[06:49:59]  shotmaker93: yes
[06:50:53]  rinta_rnt: MarioKartWii
[06:50:54]  shotmaker93: must be what you got there going on in Japan the way music is made, nothing wrong with it
[06:51:23]  rinta_rnt: マリオ64やってるやつがなにいってんの
[06:52:53]  shotmaker93: I misunderstood then, I thought you were saying that the music there has two styles
[06:53:10]  shotmaker93: ahhh kk
[06:54:04]  chisasfam: i heard 新しい and I just thought 新しい学校のリーダース
[06:54:09]  chisasfam: hmmm I like eve
[06:54:12]  chisasfam: he is kinda like vaundy tho
[06:54:20]  chisasfam: bc vaundy only has like two styles
[06:54:32]  chisasfam: eve also has that netflix film
[06:54:37]  chisasfam: theyre like
[06:54:45]  chisasfam: an all girl jrock band
[06:54:55]  shotmaker93: roasting Marios ass literally
[06:54:55]  chisasfam: but they like dance and stuff
[06:55:30]  chisasfam: its the only time ive heard 新しい be used outside of that context
[06:55:55]  chisasfam: listen to 宮本浩次 <3
[06:56:30]  chisasfam: yes
[06:56:38]  chisasfam: zetto you dont understand
[06:56:42]  chisasfam: he id amazing
[06:56:46]  chisasfam: better than ACME
[06:56:51]  chisasfam: and XJapan
[06:56:53]  chisasfam: combined
[06:57:06]  chisasfam: XJapan was a weak example
[06:57:30]  rinta_rnt: too old
[06:57:41]  chisasfam: They are good but like idk they arent AAMZING
[06:57:48]  shotmaker93: before Zetto i was watching a Jav girl here on twitch but then i heard Zetto cry for herl so i'm here to waste his time VoteYea
[06:57:50]  chisasfam: they are like the makers of Visual Kei though
[06:57:57]  shotmaker93: help*
[06:58:06]  chisasfam: ACME are like new though
[06:58:14]  chisasfam: and theyre big in the vkei scene kinda
[06:58:43]  shotmaker93: telepathy Zetto
[06:59:57]  chisasfam: okay okay 宮本浩次 is better than ACME, SID and UNiTE combined
[07:00:01]  chisasfam: theyre strong exampled
[07:00:06]  chisasfam: examples*
[07:00:21]  chisasfam: Hmmm you need to be cool and social zettooo
[07:00:26]  chisasfam: listen to good music
[07:00:38]  chisasfam: yeah SID made the opening for Black Butler Season 1 3 and 4
[07:00:52]  rinta_rnt: Cheer1 hai
[07:00:52]  chisasfam: and they also made the opening for blue exorcist i think
[07:00:53]  shotmaker93: Zetto, her name is Kaho Shibuya
[07:01:04]  shotmaker93: maybe.
[07:01:09]  garlicpaper555: high
[07:01:10]  rinta_rnt: ok
[07:01:11]  nightbot: Tip me here: https://streamlabs.com/ktrzetto/tip
[07:01:12]  garlicpaper555: *hi
[07:01:47]  rinta_rnt: Cheer1 澁谷 果歩は、日本のタレント、YouTuber、コスプレイヤー。元AV女優。
[07:01:50]  chisasfam: @Shotmaker93 my Japanese tutor is called Kaho T-T
[07:02:17]  rinta_rnt: コロナ禍やろなぁ
[07:02:24]  shotmaker93: i don't have a tutor maybe i'd hire Zetto
[07:02:26]  chisasfam: nono they are the same person now
[07:02:44]  dinosaurus: a guy in my class has the last name Stevens but he isnt even clint Madge
[07:02:57]  chisasfam: I self teach I just use her to like help me with some things I struggle with and help concrete my learning
[07:03:03]  chisasfam: @Dinosaurus BRO WHATTTT thats a scam :(
[07:03:36]  shotmaker93: @Chisasfam the struggle with Kappa
[07:03:51]  shotmaker93: 22 euro per hour Zetto you say?
[07:03:55]  iop4everdudes: hey zetto hope your having a good day man
[07:03:55]  chisasfam: @Shotmaker93 huh
[07:04:16]  dinosaurus: How did you get that from self teach
[07:04:22]  dinosaurus: This mf probably uses duolingo and fuckin Genki textbook
[07:04:31]  garlicpaper555: i want to learn Japanese so bad, but at the same time it may take me super long like i know english and arabic and french but Japanese is like i hit my limit lol
[07:04:57]  dinosaurus: garlicpaper555 did you grow up speaking arabic or did you learn it later in life?
[07:05:10]  garlicpaper555: learn it later
[07:05:21]  dinosaurus: damn thats pog. anyway japanese is a cringe language dont learn it its annoying
[07:05:35]  shotmaker93: the uro is still bigger then us dollar
[07:05:40]  dinosaurus: im happy i grew up with english so I don't have to struggle through all the annoying grammar like I am doing in japanese
[07:05:41]  shotmaker93: Euro
[07:06:19]  garlicpaper555: for you which is the hardest language to learn?
[07:06:29]  dinosaurus: yeah its a SOV language instead of SVO like english and french
[07:06:38]  garlicpaper555: for me its super mario 64
[07:06:39]  dinosaurus: apparently arabic is often VSO language which is WILD
[07:07:19]  dinosaurus: Bro I dont like anime, i dont plan on travelling to japan, but here I am learning the language for seemingly no reason Sadge
[07:07:24]  chisasfam: @Dinosaurus Genki textbook T-T my tutor told me to use it but I was like no I dont want textbooks
[07:07:25]  dinosaurus: its because my community college doesnt teach korean
[07:08:21]  chisasfam: my hardest language to learn was english ngl... Idk why, I have had an easier time learning Japanese and Im picking stuff up easier than I did when learning english
[07:08:52]  shotmaker93: at some point you gotta ask yourself, is it worth it to learn a new language to just bang girls?
[07:08:54]  chisasfam: online
[07:08:56]  chisasfam: I use Perply
[07:08:58]  dinosaurus: i just go to college
[07:09:01]  dinosaurus: for this class only
[07:09:10]  chisasfam: and I have 2 online classes a week for 9.50 an hour
[07:09:22]  dinosaurus: its not lmao
[07:09:25]  rinta_rnt: 明日11時半
[07:09:27]  dinosaurus: i just wanted to learn a language for self improvement
[07:09:44]  chisasfam: i have no clue
[07:09:48]  chisasfam: its lie 2 hours a week
[07:10:01]  chisasfam: so shes getting 19 a week from me
[07:10:02]  dinosaurus: also I am a machinist and japan is like POGGERS in the machining world, like Mitutoyo pops off there
