# Start logging at 2022-11-09 09:45:35 Tokyo Standard Time
[09:45:35] ktrZetto is live!
[09:45:35] 2022年11月9日
[09:46:13]  usausachu: First
[09:46:30]  usausachu: Poggers
[09:46:35]  usausachu: I wasn’t sure if I was or not
[09:46:45]  usausachu: Lmaooooo thank you, many brain cells used there
[09:47:17]  streamelements: ktrZetto is now live! Streaming Super Mario World: JP&ENG | I'm die. Thank you forever.
[09:48:09]  usausachu: It’s easy and funny content I think
[09:49:07]  usausachu: !followage
[09:49:09]  nightbot: UsaUsaChu has been following ktrZetto for 1 year, 1 month, 3 weeks, 3 days, 7 hours, 46 minutes, 33 seconds
[09:49:25]  usausachu: ShowLove3
[09:49:27]  usausachu: Pog
[09:50:33]  usausachu: Have you speedrun this before?
[09:52:23]  robertzarmy: omg vtuber title reference. i get the reference
[09:52:28]  usausachu: I have an SNES, one of those newer ones with all the games already
[09:52:37]  usausachu: Robert clintWave
[09:52:51]  robertzarmy: hiya Usa
[09:53:00]  robertzarmy: how are you
[09:53:40]  robertzarmy: did u see my post convention desk zetto
[09:53:48]  robertzarmy: i spent 600 dollars
[09:55:00]  robertzarmy: LOL
[09:55:07]  usausachu: usausaShake
[09:55:33]  robertzarmy: idk anime shit
[09:55:35]  robertzarmy: and FUN
[09:55:36]  shotmaker93: ZettoMan
[09:55:45]  robertzarmy: just general chat
[09:55:50]  robertzarmy: that is just the desk shit i bought tho
[09:56:38]  robertzarmy: well i had no anime merch at all before this weekend
[09:57:01]  robertzarmy: sakura miku yes
[09:57:20]  robertzarmy: aqua on top of my tower and sumi from rent a girlfriend
[09:57:24]  robertzarmy: and some cool prints and shirts
[09:57:39]  robertzarmy: aqua hololive
[09:57:53]  usausachu: Aqua VTuber
[09:57:58]  usausachu: And damn I love that
[09:58:01]  robertzarmy: nah they had those though
[09:58:03]  usausachu: Rushia is a fave
[09:58:10]  usausachu: No no, she’s just a VTuber
[09:58:14]  robertzarmy: Love rushia
[09:58:19]  robertzarmy: I spent the most on that one
[09:58:24]  robertzarmy: nendos are dope but kinda EXPENSE
[09:58:54]  robertzarmy: oh usa u play genshin right
[09:58:58]  robertzarmy: i got a hu tao print and mousepad
[09:59:13]  usausachu: @robertzarmy I love hu tao squikaWow usausaHappy
[09:59:30]  usausachu: I look like hu tao so I like her a lot, at least body type
[09:59:44]  robertzarmy: have u ever cosplayed her
[09:59:50]  robertzarmy: i saw a lot of hu tao cosplayers at the convention
[09:59:58]  robertzarmy: i love the hu tao design
[10:00:02]  usausachu: @robertzarmy I’m going to one day, got to buy her outfit first
[10:00:02]  nightbot: Tip me here: https://streamlabs.com/ktrzetto/tip
[10:00:22]  robertzarmy: wind cap lol
[10:00:30]  shotmaker93: Zetto cosplay!?
[10:00:45]  robertzarmy: bro why this game look kinda hard?
[10:01:33]  robertzarmy: @UsaUsaChu nice!! i really want to try cosplaying but i have no idea how to start
[10:02:11]  usausachu: @robertzarmy I started small years ago, with like a simple cosplay that only took a few parts
[10:02:25]  usausachu: I usually only try to cosplay characters with similar hair color /style so I don’t need a wig tho
[10:02:51]  usausachu: Yeee
[10:03:15]  usausachu: The funeral patrol director, with like brown hair
[10:03:22]  usausachu: She’s popular emuuLUL
[10:03:22]  robertzarmy: I want to do an Umineko cosplay
[10:03:27]  kaeos: twitch has a new feature that sorts your followed channels by recommended and out of everyone live, youre at the very bottom LMAOOOOO
[10:03:51]  kaeos: i just got it
[10:03:59]  laurabraus: whats up
[10:04:01]  robertzarmy: @UsaUsaChu I have a friend who is good with cosplaying so I am just gonna try to ask them for help lol
[10:04:08]  robertzarmy: yeah it is a new feature
[10:04:08]  usausachu: You can filter it differently I think @kaeos
[10:04:13]  kaeos: yeah but it sorts by viewcount normally
[10:04:45]  kaeos: @UsaUsaChu https://i.gyazo.com/f10b3fd5da6f799f758658238d5d2b0b.png this is all i see
[10:05:11]  shotmaker93: no
[10:05:19]  robertzarmy: I was also super nervous to ask people for pictures at the convention but everyone was very nice about it
[10:05:36]  laurabraus: @robertzarmy yayyyyyy HYPERS
[10:05:47]  laurabraus: its rare people in cosplay will say no about a picture
[10:05:54]  usausachu: @kaeos yeah default is by view count
[10:06:05]  usausachu: @robertzarmy hvnlyPat
[10:06:08]  robertzarmy: LMAOOOOOOO
[10:06:10]  robertzarmy: HAHAHAHHA
[10:06:19]  usausachu: LUL
[10:06:26]  chisasfam: sorry who is this?
[10:06:52]  shotmaker93: a magnificent yet raffinate prostitute
[10:06:56]  robertzarmy: @laurabraus yepp
[10:06:59]  chisasfam: damn\
[10:07:05]  chisasfam: Yeah Idk who you are cya
[10:07:09]  laurabraus: you chest bumped that guy
[10:07:11]  robertzarmy: now if only I could figure out how to actually engage them in a conversation instead of asking for a picture and running away
[10:07:21]  laurabraus: @robertzarmy yeah thats impossible
[10:07:29] shotmaker93 redeemed Make my bed 1000
[10:07:29]  chisasfam: @robertzarmy "hey howre you, nice tits btw"
[10:07:40]  kaeos: id bet on 10+ game overs this level
[10:07:44]  chisasfam: thats what zetto would do
[10:08:07]  robertzarmy: @robertzarmy ill try that on the dudes
[10:08:15]  shotmaker93: FUCK
[10:08:39]  laurabraus: one time a couple days after a convention, i saw one of the cosplayers i had asked for a pic at a buffet restaurant and as we were both getting food  i was like "hey i saw you at that convention! your costume was really good!" and she basically said "dont talk to me when im out in public" LMAO
[10:08:43]  chisasfam: zetto wtf was that death
[10:08:52]  robertzarmy: laurabraus LMAO
[10:08:59]  kaeos: @Chisasfam you realize its normal for him to do that after a while
