# Start logging at 2022-11-12 09:39:19 Tokyo Standard Time
[09:39:19] ktrZetto is live!
[09:39:19] 2022年11月12日
[09:40:01]  deohang: Ello
[09:40:01] DeoHang subscribed at Tier 1. They've subscribed for 13 months, currently on a 13 month streak!
[09:40:20]  deohang: Almost 2am
[09:40:20]  streamelements: ktrZetto is now live! Streaming Super Mario World: JP&ENG | 10 years on twitch PoroSad
[09:40:40]  kirosthegreat: Time to dick up some dinosaurs saphiaDab
[09:40:54]  deohang: Doing well trying to prepare for Comic-Con in 2 weeks
[09:41:28]  rinta_rnt: BibleThump1 nanto imakara sigoto
[09:41:32]  deohang: Yeee gonna go as Tifa
[09:41:36]  kirosthegreat: Preparing to be a nerd Kappa
[09:41:46]  deohang: Adahsjfsjsk
[09:42:35]  deohang: Yeah tbh I don’t remember much of it bc I watched my brother play it when I was younger
[09:42:54]  deohang: Probably gonna watch a gamethrough before the con
[09:43:39]  laurabraus: secret levels still?
[09:43:51]  kaeos: 1 year Pain
[09:43:51] kaeos subscribed with Prime. They've subscribed for 12 months!
[09:43:57]  kirosthegreat: Long enough for you to nearly lose LULW
[09:44:16]  kirosthegreat: I have not hit one year Sadge
[09:44:20]  kaeos: gn :)
[09:44:59]  kirosthegreat: Time to dick up some dinosaurs saphiaDab
[09:44:59]  kirosthegreat: Preparing to be a nerd Kappa
[09:44:59]  kirosthegreat: Long enough for you to nearly lose LULW
[09:44:59]  kirosthegreat: I have not hit one year Sadge
[09:45:16]  kirosthegreat: yuniiSad
[09:45:30]  kirosthegreat: sleep well kaeos
[09:46:02]  deohang: Are you getting the new pkmn game
[09:56:05]  usausachu: 10 years Pog vaults3Wow
[09:56:16]  usausachu: I’m here to lurk because I’m a lil busy but hope all is well
[09:56:21]  303devilfish: 10 years of wasted time Sadge
[09:56:32]  kirosthegreat: @UsaUsaChu orooHug
[09:56:37]  usausachu: @kirosthegreat usausaLove
[09:57:47]  303devilfish: OMEGALUL
[09:58:54]  laurabraus: you can do it
[10:00:48]  303devilfish: i remember when i said it would take a week for you to beat this game
[10:00:52]  303devilfish: i feel vindicated FeelsGoodMan
[10:01:44]  303devilfish: COPIUM
[10:10:47]  303devilfish: FeelsStrongMan i was here
[10:11:09]  laurabraus: i thought it was gonna say "you are a sucker" and a big thwomp was gonna come down on you
[10:11:50]  laurabraus: LOL
[10:13:19]  laurabraus: THAT looks like a rom hack
[10:14:09]  laurabraus: WTF
[10:15:17]  laurabraus: squished
[10:17:20]  laurabraus: id play mario party with you. but i dont have a switch
[10:17:53]  laurabraus: LOL
[10:18:14]  laurabraus: yeah netplay is always a gamble
[10:18:25]  303devilfish: nintendo online OMEGALUL
[10:18:50]  303devilfish: i refuse to believe that
[10:18:52]  laurabraus: i gave up on dolphin after it deleted all my save states
[10:18:54]  303devilfish: nintendo online is unplayable
[10:20:56]  laurabraus: i think i only have played mario party twice. and i think both were on gamecube
[10:22:01]  laurabraus: its so fun though. from my memory
[10:28:24]  303devilfish: it's pretty obvious tbh
[10:28:49]  303devilfish: but i'm not going to tell you :)
[10:29:42]  anglerangus: L
[10:29:47]  anglerangus: ive POGGERS
[10:29:54]  anglerangus: Pog *
[10:30:18]  303devilfish: L streamer 😂
[10:33:19]  anglerangus: cheating FeelsWeirdMan
[10:33:21]  303devilfish: clintNotes uh-huh
[10:33:38]  303devilfish: yes
[10:33:57]  303devilfish: forsenCD based
[10:37:04]  anglerangus: LUL
[10:39:51]  anglerangus: there might be secret in the hole 🤔
[10:43:44]  303devilfish: Skill issue
[10:47:59]  303devilfish: YEP
[10:48:16]  kirosthegreat: zetto_asmr_moan.mp3 Kappa
[10:49:09]  kirosthegreat: Sounds like something your typical twitch user would do usausaNodders
[10:49:53]  kirosthegreat: I only care if a sneeze / hiccup / whatever is cute orooShrug
[10:50:06]  kirosthegreat: LUL
[10:50:15]  303devilfish: can u do a cute sneeze? @streamer
[10:50:35]  kirosthegreat: I think I clipped Rainhoe sneezing once because she sounded like Pikachu
[10:51:09]  kirosthegreat: You just git gud son
[10:51:26]  303devilfish: a vtuber AYAYA
[10:51:32]  303devilfish: RPGAyaya
[10:53:41]  kirosthegreat: If I could do this when I was a kid, you should be able to do it now... come on man orooLUL
[10:53:58]  303devilfish: yes
[10:54:12]  kirosthegreat: Yup. Well, after I watched my brother.....
[10:54:33]  303devilfish: don't you speedrun a platformer?
[10:54:54]  303devilfish: just pretend this is 3d
[10:54:57]  kirosthegreat: You chose to speed run a 3d platformer... I think you can't say that platformers aren't your thing
[10:56:21]  kirosthegreat: YES
[10:56:23]  kirosthegreat: There you go
[10:57:01]  kirosthegreat: You murdered all the cute rhinos jhinxxHYPERS jhinxxHYPERS
[10:57:06]  303devilfish: gachiBASS
[10:57:19]  kirosthegreat: Backdoor is another word for anal Kappa
[10:57:57]  kirosthegreat: We going into bowser's backdoor tonight
[10:59:05]  rickitarr64: oi oi
[11:01:10]  303devilfish: ppHop
[11:02:31]  kirosthegreat: This is when Mario shows the princess his peach Kappa
[11:04:09]  303devilfish: erp in limsa
[11:04:29]  kirosthegreat: ogurlzLurk  leaving a lurk for you
[11:05:11]  303devilfish: but the cat girls
[11:05:14]  303devilfish: and the bunny girls
[11:05:50]  laurabraus: cancelled
[11:07:24]  laurabraus: ok im getting a snack brb
[11:11:09]  ktrzetto: !game mario kart 8
[11:11:09]  nightbot: @ktrZetto -> The stream game has been updated to: Mario Kart 8
[11:13:08]  laurabraus: back
[11:13:42]  laurabraus: hell yeah
[11:14:02]  laurabraus: this track is so hard
[11:14:25]  laurabraus: but so fun
[11:19:48]  laurabraus: theyre ganging up on you
[11:23:12]  303devilfish: Cope
[11:29:58]  laurabraus: holy shit
[11:30:08]  laurabraus: out of nowhere
[11:31:05]  laurabraus: november 25 is black friday
[11:31:07]  303devilfish: the friday after thanksgiving
[11:31:43]  laurabraus: usually its the last friday of november
[11:31:52]  laurabraus: and cyber monday is the monday after that
[11:31:56]  303devilfish: it's the 4th thursday in november
[11:32:08]  laurabraus: oh yeah thanksgiving is
[11:32:30]  laurabraus: yeah
[11:32:38]  laurabraus: it depends if i want anything
[11:32:46]  laurabraus: one year i went to the mall on black friday
[11:32:50]  laurabraus: insane
[11:33:10]  laurabraus: LOL
[11:33:25]  laurabraus: usually im that way too. my friend in high school wanted to go
[11:33:44]  scratchatk: 60" tvs, 720p
[11:35:03]  laurabraus: yeah i almost had to do that at gamestop
[11:35:09]  laurabraus: but i decided to quit after two weeks
[11:35:50]  laurabraus: i did have to work on the day that need for speed came out. my first shift
[11:36:13]  laurabraus: yeah everyone paid in cash
[11:36:18]  laurabraus: some people only paid in singles
[11:36:23]  laurabraus: for a $60 game
[11:36:29]  laurabraus: so that was the area of town i was in
[11:37:23]  laurabraus: that job frankly was just full of blows
[11:37:43]  303devilfish: strippers
[11:37:47]  laurabraus: i was like is this drug money. what is this
[11:37:48]  laurabraus: exactly
[11:38:35]  laurabraus: im not sure. it was my first day so i couldnt even open the register or open the drawers with the games
[11:39:15]  laurabraus: wtf
[11:39:21]  laurabraus: i didnt know
[11:39:37]  laurabraus: plebs
[11:40:59]  laurabraus: well every time someone bought or sold a game with us we made a profile for them. so we had to ask for weight height eye color and all that
[11:41:32]  laurabraus: because if they 1. sell us a game that turns out to be stolen or 2. sell a rated M game they bought from us to a minor it could get us in trouble
[11:41:36]  laurabraus: i think that was the reasoning
[11:42:11]  laurabraus: i forget if it was every bought game
[11:42:24]  laurabraus: cause i literally only worked there like 16 hours total
[11:44:46]  laurabraus: GO GO GO GO
[11:45:53]  laurabraus: WINNER
[11:46:49]  303devilfish: clintAY nyap
